Tara,Rata somajului (% din forta de munca),Educatie (%),ISD pe cap de locuitor (USD),Rata inflatiei (% pe an),PIB pe cap de locuitor (USD)
Angola,1.6843625343730149,-1.4790515517222425,-0.15119941583971566,1.025634789987561,-0.810852106293345
Albania,0.8146558644727867,0.8554298812813735,-0.10793612532379056,-0.190716655197788,-0.47013546608575907
United Arab Emirates,-0.860571719670581,0.2637328558248859,0.09050448948929023,-0.21654007410940632,1.051050565006335
Argentina,0.32469771678813053,1.6922207298569336,-0.13478351840979094,9.98275915291071,-0.36876376772815406
Armenia,1.450115483984605,-0.09152934747105138,-0.14700118598809844,-0.2816866617464804,-0.5804848582699543
Australia,-0.46039107587927997,1.5893643142343745,-0.0348887154916305,-0.14651417260546068,1.6115060489940451
Austria,-0.17826269008108067,1.1692010692767398,-0.06353634871391758,-0.15696950415328847,1.3637442513853735
Azerbaijan,-0.14627300478574712,-0.46201446022367665,-0.14819732807661357,-0.19088967463079054,-0.6302461707397444
Burundi,-1.1146317364354554,-1.6063800765820224,-0.14937000864968614,0.6504180958857404,-0.9065311166536758
Belgium,-0.1681498218264268,0.8602558713847847,-0.3510178513144769,-0.14736121039258301,1.2990452602515954
Burkina Faso,-0.23460581321415186,-1.4762304461958309,-0.14930355544403345,-0.09841078371814031,-0.8767075986318839
Bangladesh,-0.3349089554950041,-1.0327021061395527,-0.148995070616638,0.19487000723047188,-0.8136859032184822
Bulgaria,-0.45378675375379174,0.7859112476078143,-0.1183285164219199,-0.17993662487654022,-0.2269441895594658
Bahrain,-1.073354723151154,0.08970175019114274,-0.051211711522788625,-0.25130087312515875,0.24461857201044038
Bosnia and Herzegovina,0.9122760008901595,-0.3271703336606797,-0.13117436732111692,-0.21519577077811855,-0.5490967400899717
Belarus,-0.607130858104971,0.4702189943394733,-0.13852084530179676,-0.023886176074105793,-0.5898155654815079
Belize,0.14390439860289084,-0.9976962998788871,-0.13171021699937632,-0.14053418977851365,-0.6147043530158431
Barbados,0.25308209873986776,-0.06538736710700077,-0.0875149799022331,-0.31485345752570226,0.12303948774980711
Brunei Darussalam,-0.23914628467542506,-0.6215411901148834,-0.14587798592405585,-0.3124492869529345,0.3814975429630934
Botswana,3.4745466005131624,-1.107903585854508,-0.13879820603260473,-0.16255776465403077,-0.6141369083649217
Canada,0.03039261207106235,0.669432597741931,-0.06722572414416737,-0.18297161650362517,1.2101020261760131
Switzerland,-0.4525484433552627,0.5964422474063847,-0.7459359005734596,-0.24463105905163152,3.15218693854429
Chile,0.5682320951655079,1.5921415880198686,-0.11290243525054477,-0.09341809882458404,-0.2616000625558249
